,county,jurisdiction,state
0,HUMBOLDT COUNTY,HUMBOLDT,CALIFORNIA
1,BOONE COUNTY,BOONE,MISSOURI
2,HANCOCK COUNTY,HANCOCK,TENNESSEE
3,MARION COUNTY,MARION,MISSOURI
4,ALACHUA COUNTY,ALACHUA,FLORIDA
6,BARNSTABLE COUNTY,BARNSTABLE,MASSACHUSETTS
7,BARNSTABLE COUNTY,BOURNE,MASSACHUSETTS
8,BARNSTABLE COUNTY,FALMOUTH,MASSACHUSETTS
9,BARNSTABLE COUNTY,SANDWICH,MASSACHUSETTS
10,BARNSTABLE COUNTY,YARMOUTH,MASSACHUSETTS
11,BAY COUNTY,BAY,FLORIDA
12,BONNEVILLE COUNTY,BONNEVILLE,IDAHO
13,BRADFORD COUNTY,BRADFORD,FLORIDA
14,BRISTOL COUNTY,DARTMOUTH,MASSACHUSETTS
15,BRISTOL COUNTY,EASTON,MASSACHUSETTS
16,BRISTOL COUNTY,FAIRHAVEN,MASSACHUSETTS
17,BRISTOL COUNTY,MANSFIELD,MASSACHUSETTS
18,BRISTOL COUNTY,N. ATTLEBOROUGH,MASSACHUSETTS
22,CHARLOTTE COUNTY,CHARLOTTE,FLORIDA
23,CHATHAM COUNTY,CHATHAM,NORTH CAROLINA
24,CHOWAN COUNTY,CHOWAN,NORTH CAROLINA
29,DEL NORTE COUNTY,DEL NORTE,CALIFORNIA
30,DESOTO COUNTY,DESOTO,FLORIDA
33,DISTRICT OF COLUMBIA,WARD 2,DISTRICT OF COLUMBIA
34,DIXIE COUNTY,DIXIE,FLORIDA
36,ESCAMBIA COUNTY,ESCAMBIA,FLORIDA
37,ESSEX COUNTY,AMESBURY,MASSACHUSETTS
38,ESSEX COUNTY,ANDOVER,MASSACHUSETTS
39,ESSEX COUNTY,DANVERS,MASSACHUSETTS
40,ESSEX COUNTY,MARBLEHEAD,MASSACHUSETTS
41,ESSEX COUNTY,METHUEN,MASSACHUSETTS
42,ESSEX COUNTY,N. ANDOVER,MASSACHUSETTS
43,ESSEX COUNTY,SAUGUS,MASSACHUSETTS
44,ESSEX COUNTY,SWAMPSCOTT,MASSACHUSETTS
46,FRANKLIN COUNTY,FRANKLIN,FLORIDA
47,FRANKLIN COUNTY,GREENFIELD,MASSACHUSETTS
48,FRANKLIN COUNTY,MONTAGUE,MASSACHUSETTS
49,FREMONT COUNTY,FREMONT,IDAHO
50,FRESNO COUNTY,FRESNO,CALIFORNIA
51,GADSDEN COUNTY,GADSDEN,FLORIDA
52,GLADES COUNTY,GLADES,FLORIDA
53,GLENN COUNTY,GLENN,CALIFORNIA
54,GULF COUNTY,GULF,FLORIDA
55,HAMILTON COUNTY,HAMILTON,FLORIDA
56,HAMPDEN COUNTY,AGAWAM,MASSACHUSETTS
57,HAMPDEN COUNTY,LUDLOW,MASSACHUSETTS
58,HAMPDEN COUNTY,W. SPRINGFIELD,MASSACHUSETTS
59,HAMPSHIRE COUNTY,AMHERST,MASSACHUSETTS
62,HARRISON COUNTY,HARRISON,INDIANA
63,HENDRY COUNTY,HENDRY,FLORIDA
64,HERNANDO COUNTY,HERNANDO,FLORIDA
65,HIGHLANDS COUNTY,HIGHLANDS,FLORIDA
66,HOLMES COUNTY,HOLMES,FLORIDA
68,INDIAN RIVER COUNTY,INDIAN RIVER,FLORIDA
69,JACKSON COUNTY,JACKSON,FLORIDA
