,county,jurisdiction,state
67,CHARLES MIX COUNTY,CHARLES,SOUTH DAKOTA
2230,BROOKINGS COUNTY,BROOKINGS,SOUTH DAKOTA
3408,COOS COUNTY,ERVING'S LOCATION,NEW HAMPSHIRE
3535,COOS COUNTY,AT. & GIL. ACADEMY GRANT,NEW HAMPSHIRE
3578,YANKTON COUNTY,YANKTON,SOUTH DAKOTA
3579,BROWN COUNTY,BROWN,SOUTH DAKOTA
3580,HUGHES COUNTY,HUGHES,SOUTH DAKOTA
3581,POTTER COUNTY,POTTER,SOUTH DAKOTA
3582,SULLY COUNTY,SULLY,SOUTH DAKOTA
3603,OGLALA LAKOTA COUNTY,OGLALA LAKOTA,SOUTH DAKOTA
3681,COOS COUNTY,SARGENT'S PURCHASE,NEW HAMPSHIRE
3693,COOS COUNTY,BEAN'S GRANT,NEW HAMPSHIRE
3694,COOS COUNTY,BEAN'S PURCHASE,NEW HAMPSHIRE
3788,COOS COUNTY,SECOND COLLEGE GRANT,NEW HAMPSHIRE
3968,COOS COUNTY,SUCCESS,NEW HAMPSHIRE
3981,COOS COUNTY,HADLEY'S PURCHASE,NEW HAMPSHIRE
4026,COOS COUNTY,THOMPSON & MESERVE'S PUR.,NEW HAMPSHIRE
4040,HYDE COUNTY,HYDE,SOUTH DAKOTA
4041,COOS COUNTY,ODELL,NEW HAMPSHIRE
4044,COOS COUNTY,CHANDLER'S PURCHASE,NEW HAMPSHIRE
4222,COOS COUNTY,KILKENNY,NEW HAMPSHIRE
4268,COOS COUNTY,CRAWFORD'S PURCHASE,NEW HAMPSHIRE
4276,COOS COUNTY,CUTT'S GRANT,NEW HAMPSHIRE
4278,KING COUNTY,KING,WASHINGTON
4355,GRAFTON COUNTY,LIVERMORE,NEW HAMPSHIRE
4424,COOS COUNTY,LOW & BURBANK'S GRANT,NEW HAMPSHIRE
4444,COOS COUNTY,DIX'S GRANT,NEW HAMPSHIRE
4483,COOS COUNTY,MARTIN'S LOCATION,NEW HAMPSHIRE
